# index, node_type, node_subtype, name, _pos
134,SENSORY NEURONS,,IL1DL,"array([-10.88065427, -16.23971532])"
135,SENSORY NEURONS,,IL1DR,"array([-10.13425297, -15.70224117])"
136,SENSORY NEURONS,,IL1L,"array([-11.80803128, -15.65978753])"
137,SENSORY NEURONS,,IL1R,"array([-12.76595468, -14.3327882 ])"
138,SENSORY NEURONS,,IL1VL,"array([-12.11251078, -14.98778946])"
139,SENSORY NEURONS,,IL1VR,"array([-13.65181673, -13.12346271])"
140,INTERNEURONS,,AINL,"array([ -7.62402837, -12.12749698])"
141,INTERNEURONS,,AINR,"array([ -8.1914268 , -13.24454414])"
142,INTERNEURONS,,AIML,"array([-9.49236346, -9.52516411])"
143,INTERNEURONS,,AIMR,"array([ -7.02406924, -12.43923399])"
144,INTERNEURONS,,RIH,"array([ -7.27719954, -14.07937264])"
145,INTERNEURONS,,URBL,"array([-10.24609132, -14.53433918])"
146,INTERNEURONS,,URBR,"array([ -7.92131133, -12.66096873])"
147,INTERNEURONS,,RIR,"array([-10.71817061, -17.90972362])"
148,INTERNEURONS,,AIYL,"array([ -6.4518428 , -14.36112695])"
149,INTERNEURONS,,AIYR,"array([ -6.14480536, -11.89917355])"
150,INTERNEURONS,,AIAL,"array([ 11.05585758, -36.31436385])"
151,INTERNEURONS,,AIAR,"array([ -4.88633334, -11.00856794])"
152,INTERNEURONS,,AUAL,"array([ -8.9821656 , -12.15986587])"
153,INTERNEURONS,,AUAR,"array([ -7.48669172, -10.45767387])"
154,INTERNEURONS,,AIZL,"array([ -6.81055531, -13.23298125])"
155,INTERNEURONS,,AIZR,"array([ -5.60235694, -12.216984  ])"
156,INTERNEURONS,,RIS,"array([ -5.88155446, -16.6125377 ])"
157,INTERNEURONS,,ALA,"array([ -3.61666721, -14.16156141])"
158,INTERNEURONS,,PVQL,"array([ -3.28219872, -14.47621496])"
159,INTERNEURONS,,PVQR,"array([ -3.0108241 , -13.94258074])"
160,INTERNEURONS,,ADAL,"array([ -5.87993973, -14.16130438])"
161,INTERNEURONS,,ADAR,"array([ -3.91871018, -13.6864927 ])"
162,INTERNEURONS,,RIFL,"array([ -4.18176552, -15.11935973])"
163,INTERNEURONS,,RIFR,"array([ -3.93138586, -16.73038591])"
164,INTERNEURONS,,BDUL,"array([ -1.48530794, -13.60522366])"
165,INTERNEURONS,,BDUR,"array([ -0.6667689 , -12.21372796])"
166,INTERNEURONS,,PVR,"array([-25.42026003, -11.86520829])"
