synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
3093284,18058644,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3093284,20343986,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3093284,20730780,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
3093284,21220994,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
3862443,2511238,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3862443,5691934,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
3862443,7719118,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
3862443,8412625,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3862443,8939384,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
3862443,11037238,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
3862443,17729088,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3862443,20443420,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4128002,5744058,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4206755,11361875,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4206755,16347283,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4206755,17173922,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4206755,17854345,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4206755,17913199,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4393350,1042538,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,1141813,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
4393350,1690576,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,2816457,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4393350,2881070,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
