synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
1679034,17165755,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1679034,17813457,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1679034,18500988,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1679034,18566361,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1805418,1805418,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,2659504,chem,other,none,5.00,0.50,11,子图 运动命令 内部化学连接
1805418,2669844,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1805418,3021609,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1805418,5162462,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1805418,5898284,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
1805418,5936935,chem,other,none,5.00,0.50,18,子图 运动命令 内部化学连接
1805418,8127390,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,9077224,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1805418,9116228,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1805418,9177218,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1805418,13167730,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,15629759,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,16115255,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,16937799,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,17587730,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1805418,17658948,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1805418,17660233,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1805418,18232369,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1805418,19090042,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1805418,19091995,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,20316708,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,20443362,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805418,20479904,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1805669,4127096,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1805669,6700147,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805669,6702943,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1805669,13007383,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805669,13411445,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805669,13835439,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1805669,14656798,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805669,14680483,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1805669,19190681,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1805669,20443571,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,2283495,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,3027876,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,3414508,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,3498479,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1868538,3595837,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,3620633,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,3765735,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,3946166,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1868538,3979181,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,4127096,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1868538,4215611,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,6153877,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1868538,7700444,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1868538,7982307,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,8572353,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,9234420,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1868538,9424902,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1868538,10100020,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1868538,10276161,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,10596949,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,10781924,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,10872426,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1868538,10922928,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,10986253,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1868538,11639192,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,13749806,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1868538,14034206,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1868538,16422727,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1868538,16468935,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1868538,16848587,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,16910799,chem,other,none,5.00,0.50,10,子图 运动命令 内部化学连接
1868538,17728922,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1868538,18232369,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1868538,20443362,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1868538,20443571,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
1924051,3797420,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1924051,8154054,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1924051,17359101,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
1924051,17423125,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1924051,17698681,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1961182,1065967,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1961182,3027876,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,3765735,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,3944626,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,3945756,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,4876839,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,8566140,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,8572353,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,9116228,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1961182,9753494,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1961182,10276161,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1961182,10882750,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,13411445,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,13763548,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1961182,14753815,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1961182,15048530,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,15548844,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1961182,16115255,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1961182,16167914,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,16195633,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
1961182,16361363,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1961182,16848587,chem,other,none,5.00,0.50,10,子图 运动命令 内部化学连接
1961182,17087885,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,17324711,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1961182,17359501,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1961182,17813001,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1961182,20479904,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1980134,5680013,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1980134,8391330,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
2138427,5010581,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,2283495,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2142817,2355126,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,2357110,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2142817,2597151,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2142817,2852273,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2142817,3046503,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2142817,3158085,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2142817,3276003,chem,other,none,5.00,0.50,8,子图 运动命令 内部化学连接
2142817,3281684,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,3561724,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2142817,3928522,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2142817,3946166,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,4506509,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2142817,5996485,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
2142817,6554358,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,7557604,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2142817,9372642,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2142817,9842000,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
2142817,10059655,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,10329208,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,10459723,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2142817,11605567,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2142817,12634154,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2142817,13535380,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2142817,16434842,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
2438653,1065967,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,1868538,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2438653,3044500,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,3436420,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,3765735,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,3814701,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2438653,3945756,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2438653,5033480,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,5690425,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
2438653,5700090,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,6143930,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,7388340,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,7590264,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,7982307,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,8566140,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,9177218,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,9753494,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,10100020,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2438653,10276161,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2438653,10627239,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,10768709,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,10781924,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2438653,10842099,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,10870424,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,10885466,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,10986253,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,12782494,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,13849557,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,14034206,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,15608953,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,15632120,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2438653,16433696,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2438653,16468935,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,17224013,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,17324711,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,17729973,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2438653,17756162,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2438653,17927604,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2438653,19010160,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2438653,19132527,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2504517,2504517,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,2669844,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2504517,3027876,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,4812481,chem,other,none,5.00,0.50,10,子图 运动命令 内部化学连接
2504517,5162462,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,8142831,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,8801715,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,8801736,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,8810141,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,9116228,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,9532295,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
2504517,10317031,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,10523825,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,12031406,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,12420898,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,12422355,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
2504517,13652117,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,14723506,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,14754777,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2504517,15481779,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,15589738,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,15897280,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2504517,16348875,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,16355225,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,16545101,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2504517,16851791,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,17360282,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,17378648,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2504517,17455871,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
2504517,17655000,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2504517,17658602,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,17660233,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,17732346,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
2504517,18088813,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2504517,19167389,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2557644,9750356,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2557644,14517691,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
2557644,16158918,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
2557644,16316981,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
2597151,3046503,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
2597151,3281684,chem,other,none,5.00,0.50,7,子图 运动命令 内部化学连接
